﻿Monthly Mean Water Level (m) (PARAM = 2),,,,,,,,,,,,,,,
 ID,NAME,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Mean
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2012,1109.69,1109.611,,,1115.345,1117.623,1117.633,1116.177,1114.157,1112.398,1112.779,1113.002,
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2013,1113.018,1112.884,1113.002,1114.073,1116.104,1117.823,1117.812,1115.974,1114.008,1113.925,1113.922,1113.845,1114.711
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2014,1113.918,1113.851,1114.371,1114.428,1114.82,1117.158,1117.534,1115.717,1115.195,1114.084,1114.221,1114.519,1114.991
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2015,1114.061,1114.456,1114.942,1115.455,1116.784,1117.952,1116.964,1114.365,1112.653,1111.903,1111.81,1112.335,1114.474
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2016,1112.884,1113.214,1113.628,1115.15,1116.651,1117.41,1115.399,1114.224,1112.584,1111.906,1111.595,1111.636,1113.857
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2017,1112.06,1112.51,1113.604,1114.388,1116.094,1117.876,1116.942,1111.934,1107.108,1104.692,1104.38,,
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2018,1105.305,1105.22,1105.02,1105.697,1114.877,1118.427,1116.604,1111.821,1108.466,1107.253,1106.631,1106.154,1109.317
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2019,1105.834,1105.302,1104.9,1105.539,1109.584,1117.851,1118.113,1115.336,1113.192,1111.075,1109.598,1109.598,1110.525
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2020,1109.479,1109.475,1109.35,1110.175,1115.561,1118.095,1117.371,1114.501,1111.628,1109.196,1108.749,1108.574,1111.856
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2021,1108.695,1108.52,1108.423,1108.546,1112.279,1118.309,1117.008,1112.634,1110.582,1108.089,1108.505,1109.216,1110.914
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2022,1109.069,1108.784,1108.844,1109.681,1111.232,1116.664,1118.294,1115.261,1111.619,1109.175,1108.676,1108.481,1111.332
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2023,1108.342,1108.095,1107.747,1107.743,1114.895,1117.787,1112.732,1103.453,1097.7,1094.871,1094.278,1094.69,1105.18
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2024,1095.381,1096.191,1096.957,1099.274,1106.199,1115.214,1116.306,1112.05,1109.798,1108.482,1107.999,1107.788,1106
