﻿Monthly Mean Water Level (m) (PARAM = 2),,,,,,,,,,,,,,,
 ID,NAME,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Mean
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2012,63.82,63.49,,,87.24,96.67,96.71,90.68,82.32,75.03,76.61,77.54,
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2013,77.60,77.05,77.54,81.97,90.38,97.50,97.45,89.84,81.70,81.36,81.34,81.03,1114.711
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2014,81.33,81.05,83.20,83.44,85.06,94.75,96.30,88.78,86.62,82.02,82.58,83.82,1114.991
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2015,81.92,83.56,85.57,87.69,93.20,98.03,93.94,83.18,76.09,72.98,72.60,74.77,1114.474
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2016,77.05,78.41,80.13,86.43,92.65,95.79,87.46,82.60,75.80,73.00,71.71,71.88,1113.857
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2017,73.63,75.50,80.03,83.27,90.34,97.72,93.85,73.11,53.13,43.12,41.83,,
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2018,45.66,45.31,44.48,47.29,85.30,100.00,92.45,72.64,58.75,53.73,51.15,49.18,1109.317
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2019,47.85,45.65,43.99,46.63,63.38,97.61,98.70,87.20,78.32,69.56,63.44,63.44,1110.525
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2020,62.95,62.93,62.41,65.83,88.13,98.63,95.63,83.74,71.85,61.77,59.92,59.20,1111.856
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2021,59.70,58.98,58.57,59.08,74.54,99.51,94.12,76.01,67.51,57.19,58.91,61.86,1110.914
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2022,61.25,60.07,60.32,63.78,70.21,92.70,99.45,86.89,71.81,61.69,59.62,58.81,1111.332
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2023,58.24,57.22,55.77,55.76,85.37,97.35,76.42,37.99,14.17,2.46,0.00,1.71,1105.18
05AA032,OLDMAN RESERVOIR NEAR PINCHER CREEK,2024,4.57,7.92,11.09,20.69,49.36,86.70,91.22,73.59,64.27,58.82,56.82,55.94,1106
