﻿Monthly Mean Discharge (m3/s) (PARAM = 1) and Monthly Mean Water Level (m) (PARAM = 2),,,,,,,,,,,,,,,
 ID,NAME,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Mean
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2012,0.718,0.716,0.58,0.733,1.445,2.176,1.515,0.788,0.634,0.61,0.837,0.905,0.972
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2013,1.196,0.92,0.711,0.729,1.711,2.351,1.265,1.106,0.791,0.762,0.653,1.157,1.114
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2014,0.965,0.78,0.905,1.205,2.095,2.892,1.613,0.724,0.958,0.75,0.679,0.919,1.208
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2015,,0.794,1.009,1.106,0.982,1.087,0.435,0.407,0.348,0.396,0.413,0.466,
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2016,0.74,,,0.47,0.714,0.738,0.403,0.436,0.452,0.848,1.13,0.993,
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2017,1.108,1.019,,1.14,1.793,1.656,0.473,0.382,0.311,0.283,0.393,0.453,
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2018,0.775,0.62,0.759,0.867,1.539,1.152,0.46,0.334,0.339,0.428,0.472,0.425,0.681
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2019,0.668,1.027,0.91,0.366,0.454,0.886,0.478,0.445,0.433,0.746,0.557,0.843,0.649
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2020,1.149,0.899,0.471,0.711,1.53,2.327,,0.427,0.406,0.367,0.512,0.417,
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2021,0.377,0.852,0.51,0.387,0.394,0.752,0.352,0.397,0.293,0.328,0.508,0.866,0.499
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2022,1.3,,0.477,0.305,0.316,1.257,0.933,0.422,0.388,0.394,,0.845,
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2023,0.665,0.62,0.679,0.387,0.489,0.427,0.403,0.378,0.282,0.329,0.298,0.271,0.435
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2024,0.791,0.809,0.465,0.343,0.357,0.293,0.331,0.348,0.326,0.275,0.311,0.678,0.443
