﻿Monthly Mean Water Level (m) (PARAM = 2),,,,,,,,,,,,,,,
 ID,NAME,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Mean
05AE025,ST. MARY RESERVOIR NEAR SPRING COULEE,2012,83.05,83.21,84.20,86.32,94.78,98.62,99.86,96.16,88.31,79.29,85.45,89.62,1100.809
05AE025,ST. MARY RESERVOIR NEAR SPRING COULEE,2013,89.82,89.36,89.33,90.31,93.93,98.29,99.41,95.48,88.66,86.31,87.09,86.68,1101.332
05AE025,ST. MARY RESERVOIR NEAR SPRING COULEE,2014,86.09,85.41,86.48,86.75,87.88,97.09,99.43,92.62,88.03,83.31,84.90,86.99,1100.73
05AE025,ST. MARY RESERVOIR NEAR SPRING COULEE,2015,86.75,87.46,89.67,91.93,94.36,98.65,92.23,80.68,64.39,57.83,59.88,63.54,1098.732
05AE025,ST. MARY RESERVOIR NEAR SPRING COULEE,2016,66.25,67.74,69.67,80.14,91.39,99.27,94.48,91.04,87.80,88.96,88.56,83.58,1099.593
05AE025,ST. MARY RESERVOIR NEAR SPRING COULEE,2017,80.79,81.06,84.29,85.61,89.11,98.68,93.68,72.03,,,13.16,33.59,
05AE025,ST. MARY RESERVOIR NEAR SPRING COULEE,2018,37.75,40.16,41.46,52.20,88.65,99.49,93.82,73.52,51.55,45.39,52.60,55.32,1093.99
05AE025,ST. MARY RESERVOIR NEAR SPRING COULEE,2019,55.14,54.75,55.53,61.92,76.58,98.16,91.80,73.57,56.86,61.76,68.78,71.54,1095.897
05AE025,ST. MARY RESERVOIR NEAR SPRING COULEE,2020,73.33,73.46,73.84,77.63,93.30,99.89,100.00,93.66,79.87,71.06,76.98,80.73,1099.287
05AE025,ST. MARY RESERVOIR NEAR SPRING COULEE,2021,81.03,80.51,80.15,81.92,90.21,97.16,91.21,68.33,51.70,26.14,40.26,58.47,1096.284
05AE025,ST. MARY RESERVOIR NEAR SPRING COULEE,2022,62.64,63.40,64.51,70.69,66.58,74.84,99.02,91.36,79.07,60.68,59.91,59.44,1096.414
05AE025,ST. MARY RESERVOIR NEAR SPRING COULEE,2023,59.61,59.40,59.07,62.35,81.15,87.91,64.22,9.94,5.32,1.90,0.00,16.09,1089.359
05AE025,ST. MARY RESERVOIR NEAR SPRING COULEE,2024,22.92,27.45,33.02,52.82,80.02,91.85,95.35,83.48,74.00,72.38,74.74,74.76,1095.019
