﻿Monthly Mean Water Level (m) (PARAM = 2),,,,,,,,,,,,,,,
 ID,NAME,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Mean
05AD026,WATERTON RESERVOIR,2012,64.67,65.08,66.42,74.61,85.52,95.43,,86.92,65.73,52.50,68.41,70.58,
05AD026,WATERTON RESERVOIR,2013,70.56,70.37,70.46,73.18,82.09,93.31,94.61,86.83,69.56,64.82,69.65,70.42,1180.884
05AD026,WATERTON RESERVOIR,2014,70.33,70.42,70.93,71.43,78.65,94.17,97.02,88.05,74.45,66.39,70.58,70.97,1180.994
05AD026,WATERTON RESERVOIR,2015,,,71.39,74.19,81.98,97.57,90.34,70.10,43.63,17.45,13.26,22.10,
05AD026,WATERTON RESERVOIR,2016,36.87,43.47,50.19,50.24,74.33,97.86,98.89,88.65,68.36,64.01,71.72,70.53,1179.397
05AD026,WATERTON RESERVOIR,2017,70.22,70.42,70.94,74.46,86.57,97.90,93.17,70.25,50.40,25.39,30.04,56.01,1179.094
05AD026,WATERTON RESERVOIR,2018,63.86,62.65,61.47,65.48,91.95,99.07,98.07,81.18,47.07,16.16,7.10,0.97,1177.6
05AD026,WATERTON RESERVOIR,2019,0.13,0.00,1.39,18.32,74.15,99.09,98.27,83.72,60.08,49.42,70.03,70.63,1176.623
05AD026,WATERTON RESERVOIR,2020,70.43,70.22,70.30,74.85,81.36,97.14,96.84,86.22,63.97,52.52,62.06,70.52,1180.591
05AD026,WATERTON RESERVOIR,2021,70.17,70.12,70.22,69.55,68.54,98.75,97.08,73.45,40.84,16.80,39.54,71.19,1178.953
05AD026,WATERTON RESERVOIR,2022,70.56,70.26,71.10,70.63,58.98,91.19,100.00,89.60,59.72,34.47,36.30,38.44,1179.024
05AD026,WATERTON RESERVOIR,2023,41.16,43.55,44.77,50.36,84.13,97.39,93.92,74.66,55.92,43.03,48.20,60.96,1178.262
05AD026,WATERTON RESERVOIR,2024,70.45,70.54,71.24,62.76,62.26,95.59,98.85,88.52,68.81,50.67,52.39,54.08,1179.843
